scene_id,mean_entropy,max_entropy,std_entropy,high_entropy_ratio,n_objects,n_metal,n_rubber,has_metal
0,0.6018757224082947,0.9931824207305908,0.25641024112701416,0.47229751275510207,8,2,6,True
1,0.4429800808429718,0.9763860702514648,0.27746376395225525,0.1981823979591837,5,2,3,True
2,0.4574764370918274,0.990297257900238,0.26584044098854065,0.21865035076530612,6,5,1,True
3,0.668554961681366,0.9998658895492554,0.24241144955158234,0.5919563137755102,4,2,2,True
4,0.6276645064353943,0.9998335838317871,0.28614169359207153,0.5118383290816326,8,5,3,True
5,0.6270965337753296,0.9998524188995361,0.26190999150276184,0.4979671556122449,7,2,5,True
6,0.5818095207214355,0.9998026490211487,0.26142188906669617,0.4073860012755102,8,6,2,True
7,0.5320091247558594,0.9959211349487305,0.25223129987716675,0.3190967793367347,5,1,4,True
8,0.6727827191352844,0.9975554943084717,0.23884063959121704,0.5469347895408163,4,2,2,True
9,0.5909712910652161,0.9996389150619507,0.24281856417655945,0.38962850765306123,10,6,4,True
10,0.5468814373016357,0.9954887628555298,0.32825908064842224,0.4566127232142857,7,2,5,True
11,0.4732193052768707,0.9978024959564209,0.28819164633750916,0.2855747767857143,10,2,8,True
12,0.4738290309906006,0.9766771793365479,0.24374057352542877,0.2009327168367347,10,3,7,True
13,0.6548340320587158,0.9994392395019531,0.2077111005783081,0.47265625,7,5,2,True
14,0.5615048408508301,0.9953275322914124,0.2582690417766571,0.36342075892857145,8,3,5,True
15,0.6670421957969666,0.9997013807296753,0.1804301142692566,0.4610969387755102,5,3,3,True
16,0.4965788424015045,0.9390877485275269,0.25905126333236694,0.2691127232142857,10,5,5,True
17,0.5658169388771057,0.9976273775100708,0.24379238486289978,0.3762157206632653,9,6,4,True
18,0.6343480348587036,0.9997084736824036,0.23026227951049805,0.47213807397959184,8,4,4,True
19,0.5523186922073364,0.9994548559188843,0.2817234992980957,0.36971859056122447,6,5,1,True
20,0.5252537131309509,0.9996837973594666,0.27831336855888367,0.33689413265306123,6,5,3,True
21,0.5941102504730225,0.9981999397277832,0.2459990680217743,0.3911232461734694,10,3,7,True
22,0.5288344621658325,0.9994506239891052,0.266833633184433,0.32581313775510207,5,4,1,True
23,0.6397608518600464,0.9997420907020569,0.24649904668331146,0.5384845344387755,3,2,1,True
24,0.5626795887947083,0.999270498752594,0.29795175790786743,0.45796795280612246,3,0,3,False
25,0.5459195971488953,0.9997447729110718,0.2660509943962097,0.33896683673469385,8,6,2,True
26,0.7006606459617615,0.9998723864555359,0.19229650497436523,0.5895248724489796,3,2,1,True
27,0.5086919665336609,0.9896990656852722,0.27631211280822754,0.2881457270408163,5,1,4,True
28,0.6310802698135376,0.9996746778488159,0.2670939564704895,0.4724170918367347,6,4,2,True
29,0.6109358072280884,0.9995813965797424,0.2702443599700928,0.46731505102040816,5,1,4,True
30,0.5380201935768127,0.9721055030822754,0.2652921974658966,0.2942442602040816,4,3,1,True
31,0.6010998487472534,0.9996918439865112,0.21570581197738647,0.37888632015306123,5,3,2,True
32,0.526385486125946,0.9955984354019165,0.24867995083332062,0.30213647959183676,9,4,6,True
33,0.510504961013794,0.9834886193275452,0.3078117072582245,0.35463169642857145,4,1,3,True
34,0.5453903079032898,0.9862056970596313,0.27184805274009705,0.3318718112244898,9,5,4,True
35,0.5125089883804321,0.9843897223472595,0.272214412689209,0.3010801977040816,5,3,2,True
36,0.6148346066474915,0.999635636806488,0.26381903886795044,0.46591996173469385,3,1,2,True
37,0.6232577562332153,0.9997795224189758,0.24755948781967163,0.4370216836734694,8,5,4,True
38,0.45583632588386536,0.9815131425857544,0.26431718468666077,0.2129504145408163,9,6,3,True
39,0.6420765519142151,0.9991521239280701,0.22924205660820007,0.46438536352040816,9,2,7,True
40,0.6474502086639404,0.999742865562439,0.26110953092575073,0.5293367346938775,3,3,0,True
41,0.5073738098144531,0.9739602208137512,0.2653411626815796,0.28818558673469385,8,3,7,True
42,0.5821276903152466,0.999742329120636,0.24290719628334045,0.3861607142857143,9,6,3,True
43,0.6320667862892151,0.9995561838150024,0.22132974863052368,0.46920838647959184,5,6,1,True
44,0.48324596881866455,0.9994663596153259,0.2873496115207672,0.2962173150510204,9,3,6,True
45,0.5317295789718628,0.9991759657859802,0.2583695948123932,0.3309749681122449,8,5,3,True
